task,dataset,variant,loss_pct,effort_saved_pct,n_paired_runs,sample_budget,q
regression,215_2dplanes,"samples=2,q=0.9",-0.687822998668397,-33.73564037605531,100,2,0.9
regression,215_2dplanes,"samples=2,q=0.95",-0.687822998668397,-33.73564037605531,100,2,0.95
regression,215_2dplanes,"samples=ln_n,q=0.5",-0.07295710554727775,-33.15315636358925,100,ln_n,0.5
regression,215_2dplanes,"samples=ln_n,q=0.75",-0.07295710554727775,-33.15315636358925,100,ln_n,0.75
regression,215_2dplanes,"samples=ln_n,q=0.9",-0.687822998668397,-33.73564037605531,100,ln_n,0.9
regression,215_2dplanes,"samples=ln_n,q=0.95",-0.687822998668397,-33.73564037605531,100,ln_n,0.95
regression,215_2dplanes,"samples=sqrt_n,q=0.5",-0.133273596208483,-21.5582257238935,100,sqrt_n,0.5
regression,215_2dplanes,"samples=sqrt_n,q=0.75",-0.133273596208483,-21.5582257238935,100,sqrt_n,0.75
regression,215_2dplanes,"samples=sqrt_n,q=0.9",-0.133273596208483,-21.5582257238935,100,sqrt_n,0.9
regression,215_2dplanes,"samples=sqrt_n,q=0.95",-0.133273596208483,-21.5582257238935,100,sqrt_n,0.95
regression,218_house_8L,"samples=0.1n,q=0.5",1.4113557922669717,65.92834538334883,100,0.1n,0.5
regression,218_house_8L,"samples=0.1n,q=0.75",-0.1123088165441044,59.8796062022401,100,0.1n,0.75
regression,218_house_8L,"samples=0.1n,q=0.9",-0.24505248985342565,53.23168221304638,100,0.1n,0.9
regression,218_house_8L,"samples=0.1n,q=0.95",-0.6066062257854998,49.433396471614074,100,0.1n,0.95
regression,218_house_8L,"samples=10,q=0.5",1.3236901980156424,61.339164140413125,100,10,0.5
regression,218_house_8L,"samples=10,q=0.75",-0.4146630831584397,54.60769501323801,100,10,0.75
regression,218_house_8L,"samples=10,q=0.9",-0.6708559739260989,47.07651988110135,100,10,0.9
regression,218_house_8L,"samples=10,q=0.95",-0.979523724743192,43.18682568564691,100,10,0.95
regression,218_house_8L,"samples=2,q=0.5",1.178933729737236,67.55471486543827,100,2,0.5
regression,218_house_8L,"samples=2,q=0.75",0.3404801112601108,63.88349524751213,100,2,0.75
regression,218_house_8L,"samples=2,q=0.9",0.611251173953159,60.66234150739422,100,2,0.9
regression,218_house_8L,"samples=2,q=0.95",0.39360329116455706,59.70710012277779,100,2,0.95
regression,218_house_8L,"samples=ln_n,q=0.5",1.3236901980156424,61.339164140413125,100,ln_n,0.5
regression,218_house_8L,"samples=ln_n,q=0.75",-0.4146630831584397,54.60769501323801,100,ln_n,0.75
regression,218_house_8L,"samples=ln_n,q=0.9",-0.6708559739260989,47.07651988110135,100,ln_n,0.9
regression,218_house_8L,"samples=ln_n,q=0.95",-0.979523724743192,43.18682568564691,100,ln_n,0.95
regression,218_house_8L,"samples=sqrt_n,q=0.5",1.533351943861716,69.51373861644714,100,sqrt_n,0.5
regression,218_house_8L,"samples=sqrt_n,q=0.75",1.1128852047723403,66.13213405973082,100,sqrt_n,0.75
regression,218_house_8L,"samples=sqrt_n,q=0.9",0.7629491426683954,62.98411354480279,100,sqrt_n,0.9
regression,218_house_8L,"samples=sqrt_n,q=0.95",0.5756238877417552,61.13050984966727,100,sqrt_n,0.95
regression,225_puma8NH,"samples=0.1n,q=0.5",1.7116226196268014,58.65769633801461,100,0.1n,0.5
regression,225_puma8NH,"samples=0.1n,q=0.75",1.2118983658991556,55.55296527790012,100,0.1n,0.75
regression,225_puma8NH,"samples=0.1n,q=0.9",1.218085310683692,51.69980250752663,100,0.1n,0.9
regression,225_puma8NH,"samples=0.1n,q=0.95",3.4846733085743375,52.25974912823165,100,0.1n,0.95
regression,225_puma8NH,"samples=10,q=0.5",1.8499062907111452,54.542103564070416,100,10,0.5
regression,225_puma8NH,"samples=10,q=0.75",1.2228933503797557,49.5977570373598,100,10,0.75
regression,225_puma8NH,"samples=10,q=0.9",1.3964589955744622,45.144784389782004,100,10,0.9
